il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Esenyurt,ÖRNEK,Gazi Osman Paşa Parkı,28.67236,41.04712
İSTANBUL,Esenyurt,ÖRNEK,Esenyurt İlköğretim ve Yunus Emre Ortaokulu Bahçesi Acil Durum Toplanma Alanı,28.67269,41.04231
