il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Eyüp ,AĞAÇLI,Kemerburgaz Ağaçlı Çocuk Ve Gençlik Merkezi,28.87361,41.26349
İSTANBUL,Eyüp ,AĞAÇLI,Ağaçlı Köyü Karaağaç Sokak ile Kavak Sokak Arası,28.86951,41.26807
