il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Fatih ,ŞEHSUVAR BEY,Kadırga İlkokulu,28.96819,41.00414
İSTANBUL,Fatih ,ŞEHSUVAR BEY,Kadırga Parkı,28.96882,41.00473
