il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Kadıköy ,ZÜHTÜPAŞA,23 Nisan Parkı (1. Bölge),29.03848,40.98914
İSTANBUL,Kadıköy ,ZÜHTÜPAŞA,Söğütlüçeşme Marmaray İstasyonu Fenerbahçe Stadı Tarafı Yeşil Alan,29.03684,40.99091
