il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BALIKESİR,SINDIRGI,DEDELER,SINDIRGI_27_NOLU_TOPLANMA_ALANI,28.50795494721965,39.291109529162945
BALIKESİR,SINDIRGI,DEDELER,SINDIRGI_13_NOLU_TOPLANMA_ALANI,28.50795494721965,39.291109529162945
