il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
BURSA,OSMANGAZİ,KAYIHAN,Kayıhan Mah. Özel Kayhan Otoparkı,29.07075716406435,40.184785829031334
BURSA,OSMANGAZİ,KAYIHAN,Kayıhan Mah. Özel Otopark,29.070121411768387,40.18278726991352
