il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
HATAY,SAMANDAĞ,TOMRUKSUYU,Barış Parkı ( Samandağ ),36.04628147383988,36.15501915577192
HATAY,SAMANDAĞ,TOMRUKSUYU,KÜLTÜR İNANÇ PARKI,36.04341524431607,36.144966021433454
