il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
MANİSA,4,-,4 EYLÜL,28.63669822975903,38.54501887160477
MANİSA,4,-,4 EYLÜL,28.62171180535882,38.54184224211103
MANİSA,4,-,4 EYLÜL,28.63005854215834,38.54437609737713
MANİSA,4,-,4 EYLÜL,28.64064077810264,38.54263951066211
MANİSA,4,-,4 EYLÜL,28.63948286734941,38.54543050035711
MANİSA,4,-,4 EYLÜL,28.63058603031896,38.54822538260989
MANİSA,4,-,4 EYLÜL,28.62975894251715,38.54801133213412
MANİSA,4,-,4 EYLÜL,28.64102538996803,38.540986439139
MANİSA,4,-,4 EYLÜL,28.63009509472543,38.54278195222267
MANİSA,4,-,4 EYLÜL,28.62664638998932,38.5463476201093
MANİSA,4,-,4 EYLÜL,28.63875660255235,38.54577635309401
