il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
MANİSA,SALİHLİ,ATATÜRK,PARK ALANI,28.13795243727781,38.49524022455447
MANİSA,SALİHLİ,ATATÜRK,PARK ALANI 2,28.13669231416196,38.49314290798692
MANİSA,SALİHLİ,ATATÜRK,ŞENLİK PARK,28.13890877714232,38.49482303381942
