il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Esenler,ÇİFTE HAVUZLAR,Çiftehavuzlar Parkı,28.89731,41.02658
İSTANBUL,Esenler,ÇİFTE HAVUZLAR,Şehit Türkmen Tekin Parkı,28.89267,41.03086
İSTANBUL,Esenler,ÇİFTE HAVUZLAR,Sağlık İşleri Müdürlüğü Ek Hizmet Binası Çevresi,28.89639,41.0249
İSTANBUL,Esenler,ÇİFTE HAVUZLAR,Atatürk İlkokulu Bahçesi,28.89838,41.02717
İSTANBUL,Esenler,ÇİFTE HAVUZLAR,Yıldız Teknik Üniversitesi Kampüsü,28.89198,41.02323
