il_adi,ilce_adi,mahalle_adi,tesis_adi,x,y
İSTANBUL,Sancaktepe,PAŞAKÖY,Paşaköy Parkı,29.27886,41.01844
İSTANBUL,Sancaktepe,PAŞAKÖY,Yüksel Ulaş Ç. Bahçesi,29.28673,41.0Beşiktaş
İSTANBUL,Sancaktepe,PAŞAKÖY,Paşaköy Mahallesi Leylak Sk. Boş Alan,29.27452,41.01816
